,7_corr,7_pval,7_qval,7_ci_low,7_ci_high,2_corr,2_pval,2_qval,2_ci_low,2_ci_high,0_corr,0_pval,0_qval,0_ci_low,0_ci_high,3_corr,3_pval,3_qval,3_ci_low,3_ci_high
CXCL12,0.3497350081978767,2.4547693663760047e-184,9.626546534807862e-183,0.32785678673796087,0.3712383022199167,0.38583555520715074,2.1158198406090956e-228,2.7657775694236544e-227,0.36460015309286103,0.4066698367916572,-0.47864719480535045,0.0,0.0,-0.4974747050983251,-0.45936896189469145,-0.2795093464970652,9.076219318170994e-115,1.6653613427836686e-113,-0.30213420026762033,-0.256569771772013
C5orf38,0.3430708169768385,7.449298586480916e-177,2.7589994764744135e-175,0.3210811598799776,0.364690757217917,0.30802835008295765,1.2719746421934888e-140,9.053200300309527e-140,0.285489730358586,0.3302264376706845,-0.38282358671997535,1.7340776686876736e-224,1.7254504166046503e-223,-0.4037160803849067,-0.3615320217999514,-0.26918400566355977,3.636447361652761e-106,5.55182803305765e-105,-0.2919536720818575,-0.24610938274579247
LINC00545,0.34264951864227944,2.1805564171792968e-176,7.92929606247017e-175,0.32065289242348083,0.36427676118274627,0.4655132366723739,0.0,0.0,0.445931327829775,0.48464974265586497,-0.5368696620004325,0.0,0.0,-0.5542284649599046,-0.5190440681521021,-0.32033998372467204,9.01829450192502e-153,3.0060981673083403e-151,-0.34234169625876304,-0.29798715354733796
ERG,0.3384675232958618,8.451841027922771e-172,2.9144279406630242e-170,0.31640220613454473,0.36016678811863967,-0.025041932653685126,0.04701521303305705,0.05906433798122745,-0.049722906707216366,-0.00033039303927831346,-0.11343856899782706,1.651858186862695e-19,3.1858402832453136e-19,-0.1377641237388252,-0.08897624892054151,-0.09980205476658233,2.0148413274552688e-15,5.062415395616253e-15,-0.1242074680915001,-0.07527596250934682
DUSP2,0.33580666065642584,6.41337079891437e-169,2.1027445242342194e-167,0.31369809893097333,0.3575513122684112,0.015423976440549544,0.22126523681720156,0.25698633776678464,-0.009291309044571787,0.04012042847597235,-0.15969530337185664,2.330177047346691e-37,5.412722525776286e-37,-0.18368217339637274,-0.13551836211639884,-0.10431417935185289,1.023796018930649e-16,2.680094290394369e-16,-0.128694177464058,-0.07980816359155671
SEMA6A,0.3354948545907407,1.388671890566077e-168,4.4795867437615386e-167,0.31338124883887564,0.35724480240272966,0.4474630053779828,0.0,0.0,0.4274781398540244,0.4670107356161475,-0.5627115012821795,0.0,0.0,-0.5793668122863703,-0.5455864547254733,-0.2651230930110425,6.875244558238933e-103,9.892438213293428e-102,-0.2879482994483302,-0.24199682843386935
DDIT4,0.33368278900962134,1.2140114003834359e-166,3.793785626198237e-165,0.3115399672708866,0.35546342304111667,0.23895988139258706,3.48524897688828e-83,1.4491679737581207e-82,0.21552081259756853,0.26212375443656055,-0.35971079646625187,6.600246497745209e-196,5.593429235377296e-195,-0.38103548519186753,-0.33800359376605754,-0.1946977063363595,3.975586184610953e-55,2.3664203479827098e-54,-0.21835885610025932,-0.17080777310102074
CLIC5,0.3308677043307822,1.182737526097805e-163,3.639192387993246e-162,0.30867982467558885,0.3526956962218047,-0.03845740451873559,0.0022803644600141106,0.0031540310650264324,-0.06310917281697323,-0.013758736055715856,-0.10598348248149993,3.288237294020981e-17,6.18089716921237e-17,-0.13035382510171512,-0.08148515101060967,-0.08411134417444814,2.3003422148056695e-11,5.1809509342470035e-11,-0.10859736449595177,-0.059523321589422244
CRABP2,0.3282537579426648,6.5771859438310665e-161,1.9064307083568307e-159,0.30602439898315315,0.3501253819506327,0.34783073216204197,3.531820604565759e-182,3.300766920154915e-181,0.32592043853455205,0.3693675757463886,-0.3395291546181148,5.879349409421884e-173,4.307215684558156e-172,-0.3612102158195806,-0.31748119126427954,-0.3546741470616492,5.217226917590908e-190,3.4781512783939386e-188,-0.3760896098388702,-0.33287996833671557
TUNAR,0.3241760846331466,1.1046877884335019e-156,3.1562508240957192e-155,0.3018827097991207,0.3461151155912439,0.29823608589103023,2.1659812918385103e-131,1.42498769199902e-130,0.27555516515253214,0.32058513870420213,-0.3890356565249819,1.3128620211792926e-232,1.3819600222939922e-231,-0.4098076128312432,-0.367860430512374,-0.23615040350585526,3.286645788135808e-81,3.2222017530743218e-80,-0.2593486695719201,-0.21267979241783022
GATA3,0.32362161731029804,4.0965815691273607e-156,1.153966639190806e-154,0.30131960281336023,0.34556975209807167,-0.20499278022734155,4.408544106478273e-61,1.4501789823941688e-60,-0.22854676827912562,-0.18119894090760283,0.02675896398289265,0.033803336210426145,0.042201418489920275,0.002048574553197945,0.0514366949909982,0.0061756037863278015,0.6243373370314539,0.6706093845665455,-0.018538969516177846,0.030882634860742202
HPGD,0.3131349628623429,1.3788691407171652e-145,3.581478287577053e-144,0.290672474682653,0.33525248596359186,-0.11106013638440161,9.301180636437899e-19,1.865833628172096e-18,-0.13540027579805727,-0.0865860267686886,-0.024485961671637982,0.052131132652485215,0.06361334063756585,-0.049167954665197106,0.00022591910141133285,-0.058025260705488906,4.0970317933746905e-06,7.730248666744699e-06,-0.08261853761038623,-0.03336135365891728
